zip,city,state,county,population
01001,Agawam,MA,Hampden County,14800
01002,Amherst,MA,Hampshire County,16360
01003,Amherst,MA,Hampshire County,184
01005,Barre,MA,Worcester County,4500
01007,Belchertown,MA,Hampshire County,14540
01008,Blandford,MA,Hampden County,1180
01010,Brimfield,MA,Hampden County,3540
01011,Chester,MA,Hampden County,1030
01012,Chesterfield,MA,Hampshire County,620
01013,Chicopee,MA,Hampden County,18520
01020,Chicopee,MA,Hampden County,25070
01022,Chicopee,MA,Hampden County,1720
01026,Cummington,MA,Hampshire County,860
01027,Easthampton,MA,Hampshire County,15750
01028,East Longmeadow,MA,Hampden County,15470
01030,Feeding Hills,MA,Hampden County,10800
01031,Gilbertville,MA,Worcester County,970
01032,Goshen,MA,Hampshire County,470
01033,Granby,MA,Hampshire County,5680
01034,Granville,MA,Hampden County,1780
01035,Hadley,MA,Hampshire County,4510
01036,Hampden,MA,Hampden County,4680
01038,Hatfield,MA,Hampshire County,2170
01039,Haydenville,MA,Hampshire County,1240
01040,Holyoke,MA,Hampden County,28420
01050,Huntington,MA,Hampshire County,2240
01053,Leeds,MA,Hampshire County,1480
01054,Leverett,MA,Franklin County,1660
01056,Ludlow,MA,Hampden County,17950
01057,Monson,MA,Hampden County,7460
01060,Northampton,MA,Hampshire County,11110
01062,Florence,MA,Hampshire County,9890
01068,Oakham,MA,Worcester County,1830
01069,Palmer,MA,Hampden County,6880
01070,Plainfield,MA,Hampshire County,500
01071,Russell,MA,Hampden County,1400
01072,Shutesbury,MA,Franklin County,1350
01073,Southampton,MA,Hampshire County,6100
01075,South Hadley,MA,Hampshire County,14240
01077,Southwick,MA,Hampden County,8770
01080,Three Rivers,MA,Hampden County,1910
01081,Wales,MA,Hampden County,1550
01082,Ware,MA,Hampshire County,9040
01084,West Chesterfield,MA,Hampshire County,137
01085,Westfield,MA,Hampden County,33950
01088,West Hatfield,MA,Hampshire County,500
01089,West Springfield,MA,Hampden County,25040
01095,Wilbraham,MA,Hampden County,14180
01096,Williamsburg,MA,Hampshire County,2300
01098,Worthington,MA,Hampshire County,1050
01103,Springfield,MA,Hampden County,1610
01104,Springfield,MA,Hampden County,19330
01105,Springfield,MA,Hampden County,7510
01106,Longmeadow,MA,Hampden County,15440
01107,Springfield,MA,Hampden County,7700
01108,Springfield,MA,Hampden County,21920
01109,Springfield,MA,Hampden County,22340
01118,Springfield,MA,Hampden County,13350
01119,Springfield,MA,Hampden County,10860
01128,Springfield,MA,Hampden County,2480
01129,Springfield,MA,Hampden County,6450
01144,Springfield,MA,Hampden County,0
01151,Indian Orchard,MA,Hampden County,7340
01152,Springfield,MA,Hampden County,0
01201,Pittsfield,MA,Berkshire County,35870
01220,Adams,MA,Berkshire County,6980
01222,Ashley Falls,MA,Berkshire County,670
01223,Becket,MA,Berkshire County,2080
01224,Berkshire,MA,Berkshire County,160
01225,Cheshire,MA,Berkshire County,2860
01226,Dalton,MA,Berkshire County,5620
01230,Great Barrington,MA,Berkshire County,6310
01235,Hinsdale,MA,Berkshire County,2540
01236,Housatonic,MA,Berkshire County,1370
01237,Lanesborough,MA,Berkshire County,3080
01238,Lee,MA,Berkshire County,4910
01240,Lenox,MA,Berkshire County,3910
01245,Monterey,MA,Berkshire County,660
01247,North Adams,MA,Berkshire County,11010
01252,North Egremont,MA,Berkshire County,281
01253,Otis,MA,Berkshire County,820
01254,Richmond,MA,Berkshire County,980
01255,Sandisfield,MA,Berkshire County,620
